Symbol,Name,Type,Region,Platform,Account,Currency,Cost,Shares,GroupKey
0050.TW,元大台灣50,股票,台股,元大(台股),TWD帳戶,TWD,1568276.0,30000.0,0050/006208 (大盤)
006208.TW,富邦台50,股票,台股,元大(台股),TWD帳戶,TWD,344534.0,2873.0,0050/006208 (大盤)
2330.TW,台積電,股票,台股,元大(台股),TWD帳戶,TWD,200939.0,140.0,2330 (台積電)
00679B.TW,元大美債20年,債券,台股,元大(台股),TWD帳戶,TWD,300412.0,11236.0,台股債券 (美債+投等)
00719B.TW,元大美債1-3年,債券,台股,元大(台股),TWD帳戶,TWD,427779.0,14371.0,台股債券 (美債+投等)
00720B.TW,元大投資級公司債,債券,台股,元大(台股),TWD帳戶,TWD,299979.0,8875.0,台股債券 (美債+投等)
VT,Vanguard全球,股票,全球,元大複委託(美股),USD外幣帳戶,USD,18551.05,139.0,VT/VWRA (全球股票)
SGOV,iShares短債,債券,美股,元大複委託(美股),USD外幣帳戶,USD,0.0,0.0,SGOV (美國短債)
TSLA,特斯拉(台),股票,美股,元大複委託(美股),TWD帳戶,USD,4244.5,10.0,TSLA (特斯拉)
GOOGL,字母公司(台),股票,美股,元大複委託(美股),TWD帳戶,USD,8040.35,34.0,Google (Alphabet)
TSLA,特斯拉,股票,美股,元大複委託(美股),USD外幣帳戶,USD,889.14,3.0,TSLA (特斯拉)
GOOGL,字母公司,股票,美股,元大複委託(美股),USD外幣帳戶,USD,580.25,2.0,Google (Alphabet)
VWRA.L,VWRA全球股票,股票,全球,IBKR,USD外幣帳戶,USD,42564.2,249.17,VT/VWRA (全球股票)
IBKR,盈透證券,股票,美股,IBKR,USD外幣帳戶,USD,247.0,3.84,IBKR (盈透證券)
TSLA,特斯拉(FT),股票,美股,Firstrade(FT),USD外幣帳戶,USD,2468.0,5.55,TSLA (特斯拉)
GOOG,字母公司(FT),股票,美股,Firstrade(FT),USD外幣帳戶,USD,1438.0,4.57,Google (Alphabet)
VTI,美國大盤(FT),股票,美股,Firstrade(FT),USD外幣帳戶,USD,1224.0,3.65,VTI (美國大盤)
SGOV,短債現金(FT),債券,美股,Firstrade(FT),USD外幣帳戶,USD,1000.0,9.95,SGOV (美國短債)
BTC-USD,比特幣,虛擬幣,加密,錢包,USD外幣帳戶,USD,0.0,0.058469,Bitcoin (比特幣)
